frame,ssim,mse,text,trans
170,99.95,4.335498192097253e-06,,
171,99.95,4.335498192097253e-06,,
172,99.83,5.780664256129672e-06,,
173,99.41,1.3006494576291761e-05,,
174,99.73,1.1561328512259344e-05,,
175,99.86,7.22583032016209e-06,,
176,99.94,4.335498192097253e-06,,
177,99.97,2.890332128064836e-06,,
178,99.84,7.22583032016209e-06,,
179,99.79,7.22583032016209e-06,,
180,99.94,2.890332128064836e-06,,
181,99.32,1.1561328512259344e-05,,
182,99.87,4.335498192097253e-06,,
183,99.91,4.335498192097253e-06,,
184,99.82,4.335498192097253e-06,,
185,99.96,1.445166064032418e-06,,
186,99.99,0.0,,
187,99.88,4.335498192097253e-06,,
188,99.95,4.335498192097253e-06,,
189,99.84,1.3006494576291761e-05,,
190,99.91,5.780664256129672e-06,,
191,99.96,2.890332128064836e-06,,
192,99.96,2.890332128064836e-06,,
193,99.98,1.445166064032418e-06,,
194,99.97,2.890332128064836e-06,,
195,99.97,2.890332128064836e-06,,
196,99.97,1.445166064032418e-06,,
197,99.97,1.445166064032418e-06,,
198,99.97,2.890332128064836e-06,,
199,99.99,1.445166064032418e-06,,
200,100.0,0.0,,
201,100.0,0.0,,
202,99.77,1.5896826704356598e-05,,
203,99.95,1.445166064032418e-06,,
204,99.98,1.445166064032418e-06,,
205,99.96,2.890332128064836e-06,,
206,99.87,2.890332128064836e-06,,
207,99.95,1.445166064032418e-06,,
208,99.95,2.890332128064836e-06,,
209,99.92,2.890332128064836e-06,,
210,99.88,2.890332128064836e-06,,
211,98.73,1.8787158832421433e-05,,
212,99.81,5.780664256129672e-06,,
213,99.85,4.335498192097253e-06,,
214,99.91,2.890332128064836e-06,,
215,99.83,4.335498192097253e-06,,
216,99.91,2.890332128064836e-06,,
217,99.49,8.670996384194507e-06,,
218,99.94,2.890332128064836e-06,,
219,99.98,1.445166064032418e-06,,
220,99.95,2.890332128064836e-06,,
221,99.83,5.780664256129672e-06,,
222,99.89,7.22583032016209e-06,,
223,99.9,7.22583032016209e-06,,
224,99.8,5.780664256129672e-06,,
225,99.93,4.335498192097253e-06,,
226,99.89,7.22583032016209e-06,,
227,99.66,1.0116162448226928e-05,,
228,99.96,2.890332128064836e-06,,
229,99.94,4.335498192097253e-06,,
230,99.65,8.670996384194507e-06,,
231,99.84,5.780664256129672e-06,,
232,99.73,7.22583032016209e-06,,
233,99.96,1.445166064032418e-06,,
234,99.72,5.780664256129672e-06,,
235,99.68,7.22583032016209e-06,,
236,99.96,1.445166064032418e-06,,
237,99.98,0.0,,
238,99.5,8.670996384194507e-06,,
239,99.93,2.890332128064836e-06,,
240,99.73,5.780664256129672e-06,,
241,99.55,7.22583032016209e-06,,
242,99.95,2.890332128064836e-06,,
243,99.94,4.335498192097253e-06,,
244,99.96,2.890332128064836e-06,,
245,99.9,8.670996384194507e-06,,
246,99.91,7.22583032016209e-06,,
247,99.93,4.335498192097253e-06,,
248,99.94,4.335498192097253e-06,,
249,99.89,1.0116162448226928e-05,,
250,99.82,1.3006494576291761e-05,,
251,99.87,1.1561328512259344e-05,,
252,99.95,4.335498192097253e-06,,
253,99.96,4.335498192097253e-06,,
254,99.98,1.445166064032418e-06,,
255,99.99,1.445166064032418e-06,,
256,99.94,2.890332128064836e-06,,
257,99.98,1.445166064032418e-06,,
258,99.97,2.890332128064836e-06,,
259,99.97,2.890332128064836e-06,,
260,99.98,1.445166064032418e-06,,
261,99.98,1.445166064032418e-06,,
262,99.98,2.890332128064836e-06,,
